MUNICIPIO,UF
Cachoeiro de Itapemirim,ES
São Miguel do Oeste,SC
Votorantim,SP
Guarapari,ES
Tatuí,SP
Altamira,PA
José Bonifácio,SP
Araripina,PE
Uberaba,MG
Canindé,CE
Serra,ES
Mogi das Cruzes,SP
Porto Velho,RO
Lauro de Freitas,BA
Caruaru,PE
Carapicuíba,SP
Timon,MA
São Caetano do Sul,SP
Caxias do Sul,RS
Palmas,TO
Frutal,MG
Uberaba,MG
Machado,MG
Guarulhos,SP
Camaquã,RS
Uberlândia,MG
Nova Lima,MG
São José do Rio Preto,SP
Cachoeiro de Itapemirim,ES
Santo André,SP
Ituiutaba,MG
Nova Andradina,MS
Teixeira de Freitas,BA
Lauro de Freitas,BA
Manhumirim,MG
Botucatu,SP
João Pessoa,PB
Guarulhos,SP
Toledo,PR
Ibiúna,SP
Eunápolis,BA
Pacajus,CE
Picos,PI
São João de Meriti,RJ
Rio Claro,SP
São Carlos,SP
Maceió,AL
Recife,PE
Londrina,PR
Passo Fundo,RS
Nova Serrana,MG
Colíder,MT
Pindamonhangaba,SP
Rio do Sul,SC
São Miguel do Iguaçu,PR
São José,SC
Seringueiras,RO
Campina Grande,PB
Guarapari,ES
Sete Lagoas,MG
Manacapuru,AM
Setubinha,MG
Juazeiro,BA
Conselheiro Lafaiete,MG
Colorado do Oeste,RO
Novo Hamburgo,RS
Aracaju,SE
Sorriso,MT
São Carlos,SP
Goiana,PE
Vitória de Santo Antão,PE
Serra Talhada,PE
Erechim,RS
Clevelândia,PR
Loanda,PR
Tailândia,PA
Cataguases,MG
Quissamã,RJ
Rio do Sul,SC
Concórdia,SC
Recife,PE
São João del Rei,MG
Ilha Solteira,SP
Picos,PI
Assis,SP
Várzea Grande,MT
Sete Lagoas,MG
Viana,ES
Santa Maria da Vitória,BA
Abaetetuba,PA
Erechim,RS
Recife,PE
Alto Santo,CE
Osasco,SP
Vazante,MG
Crato,CE
Porto Velho,RO
Arapiraca,AL
Pedro Afonso,TO
Mossoró,RN
Timóteo,MG
Maceió,AL
Feira de Santana,BA
Anápolis,GO
São Gonçalo,RJ
Santo Antônio de Pádua,RJ
Campo Grande,MS
Pedreiras,MA
Três Rios,RJ
Sorriso,MT
Quirinópolis,GO
Santo André,SP
Piracicaba,SP
Caxias do Sul,RS
Porto Alegre,RS
Jequié,BA
Machadinho D´Oeste,RO
Barra Bonita,SP
Marília,SP
Parnaíba,PI
Feira de Santana,BA
Piraúba,MG
Itapecerica da Serra,SP
Cruz das Almas,BA
Gravataí,RS
Campos dos Goytacazes,RJ
Campinas,SP
Caçador,SC
São Gonçalo,RJ
Mairiporã,SP
Santos,SP
Paranaguá,PR
Ribas do Rio Pardo,MS
Araras,SP
Rubiataba,GO
Aracaju,SE
Santos,SP
Ilhéus,BA
Palmas,TO
Assis,SP
Sidrolândia,MS
Betim,MG
Jaboatão dos Guararapes,PE
Guarulhos,SP
Porto Seguro,BA
Porto Alegre,RS
Guarapari,ES
Ribeirão Preto,SP
Guaratinguetá,SP
Escada,PE
Rio do Sul,SC
Ourilândia do Norte,PA
João Monlevade,MG
São Francisco,MG
Sete Lagoas,MG
Araras,SP
Tatuí,SP
Serra,ES
Eunápolis,BA
Itaúba,MT
Ribeirão Preto,SP
Santo Ângelo,RS
Pouso Alegre,MG
Uberaba,MG
Maracanaú,CE
Manhuaçu,MG
Paracatu,MG
Osasco,SP
Guarulhos,SP
Aracaju,SE
Itaberaí,GO
Vargem Grande Paulista,SP
Timóteo,MG
Santa Maria,RS
Rondonópolis,MT
Lauro de Freitas,BA
Croatá,CE
Colatina,ES
Conselheiro Lafaiete,MG
Paraíso do Norte,PR
Bambuí,MG
Pacajus,CE
Caucaia,CE
Novo Horizonte,SP
Campo Grande,MS
Porto Alegre,RS
Jaú,SP
Botucatu,SP
Teófilo Otoni,MG
Ibitinga,SP
Guarulhos,SP
Barbacena,MG
Sorocaba,SP
Conselheiro Lafaiete,MG
Santos Dumont,MG
Três Corações,MG
Dourados,MS
Cabedelo,PB
Maringá,PR
Vilhena,RO
Presidente Prudente,SP
Matão,SP
Viçosa,MG
Jaraguá do Sul,SC
Jaú,SP
Pelotas,RS
Ponta Grossa,PR
Paraíso do Tocantins,TO
Ji-Paraná,RO
Marabá,PA
Suzano,SP
São João del Rei,MG
Carmo do Paranaíba,MG
Caicó,RN
Campos dos Goytacazes,RJ
Camaçari,BA
Restinga Seca,RS
Penedo,AL
São José do Egito,PE
Pato Branco,PR
Blumenau,SC
Recife,PE
Pinheiros,ES
Itanhaém,SP
Lucas do Rio Verde,MT
Recife,PE
Uberlândia,MG
Recife,PE
Lauro de Freitas,BA
Penápolis,SP
São Miguel,RN
Campina Verde,MG
Porto Alegre,RS
Tailândia,PA
Guaxupé,MG
Campo Grande,MS
Barra do Corda,MA
Novo Hamburgo,RS
Pesqueira,PE
Teófilo Otoni,MG
Aracaju,SE
Aparecida de
João Pessoa,PB
Capanema,PA
Buritis,MG
Recife,PE
Araranguá,SC
Ponta Grossa,PR
São João do Piauí,PI
Mafra,SC
Umuarama,PR
Maringá,PR
Limoeiro do Norte,CE
Cornélio Procópio,PR
Paragominas,PA
Praia Grande,SP
Casa Branca,SP
Felixlândia,MG
Vilhena,RO
Santo André,SP
Cornélio Procópio,PR
Passo Fundo,RS
Maringá,PR
Piranguinho,MG
Marabá,PA
Nova Lima,MG
Ponta Grossa,PR
Pontalina,GO
Pouso Alegre,MG
Barra Bonita,SP
Uruçuí,PI
Tatuí,SP
Parnaíba,PI
Olímpia,SP
Campina Grande,PB
São José do Rio Preto,SP
Palhoça,SC
Volta Redonda,RJ
Vitória do Mearim,MA
Cubatão,SP
Recife,PE
Piumhi,MG
Anápolis,GO
Jaciara,MT
Aracaju,SE
Formiga,MG
Porto Alegre,RS
Barreiras,BA
Porto Alegre,RS
Tubarão,SC
Alfenas,MG
Sumé,PB
Nova Lima,MG
Passo Fundo,RS
Mauá,SP
Jaboticatubas,MG
Milhã,CE
Taquaritinga,SP
Santos,SP
Cabo de Santo Agostinho,PE
São Mateus,ES
Valparaíso de Goiás,GO
Senhora dos Remédios,MG
Dourados,MS
Ponta Grossa,PR
Cajazeiras,PB
Guarapuava,PR
Recife,PE
Recife,PE
Agudos,SP
Rio do Sul,SC
Brusque,SC
Apucarana,PR
Porto Alegre,RS
Olinda,PE
Foz do Iguaçu,PR
Caruaru,PE
Campina Grande,PB
Palhoça,SC
Jataí,GO
Cotia,SP
Sabará,MG
Baependi,MG
Bragança Paulista,SP
Vila Velha,ES
Feira de Santana,BA
Palmas,TO
Taquaritinga,SP
Monte Carmelo,MG
Jeremoabo,BA
Dois Vizinhos,PR
Limoeiro do Norte,CE
Jaboticabal,SP
Itaituba,PA
Indiara,GO
Itapetininga,SP
Porto Velho,RO
Juazeiro do Norte,CE
Congonhas,MG
Ferraz de Vasconcelos,SP
Paraíba do Sul,RJ
Aracaju,SE
Passos,MG
Porto Alegre,RS
Abaeté,MG
Imperatriz,MA
São Francisco,MG
Batatais,SP
Parintins,AM
Pouso Alegre,MG
Garça,SP
Aracaju,SE
Guarapuava,PR
Itajubá,MG
São Pedro do Piauí,PI
Santa Maria,RS
Sousa,PB
Guarulhos,SP
Palmas,TO
Parnamirim,RN
Sete Lagoas,MG
Ribeirão Preto,SP
Caratinga,MG
Rio Verde,GO
João Pessoa,PB
Milhã,CE
Uberaba,MG
Duque de Caxias,RJ
Araripina,PE
Vila Velha,ES
Recife,PE
Sertãozinho,SP
Cafelândia,PR
Araçatuba,SP
Duque de Caxias,RJ
Campos Altos,MG
Porto Belo,SC
Araguaína,TO
Sertãozinho,SP
Cotia,SP
São João da Boa Vista,SP
Caçador,SC
Praia Grande,SP
Marialva,PR
Londrina,PR
Divisa Alegre,MG
Brumadinho,MG
Divinópolis,MG
Nova Xavantina,MT
Ilha Solteira,SP
Santana de Parnaíba,SP
Foz do Iguaçu,PR
Poços de Caldas,MG
Arapoti,PR
Passo Fundo,RS
Recife,PE
Patos,PB
Porto Alegre,RS
Mineiros,GO
Rio Novo,MG
Arcos,MG
Ponta Grossa,PR
Tucumã,PA
Palmas,TO
Foz do Iguaçu,PR
Guarujá,SP
Limoeiro do Norte,CE
Santa Cruz do Capibaribe,PE
Breves,PA
Itajaí,SC
Carapicuíba,SP
Pirapora,MG
Cruz das Almas,BA
Balneário Camboriú,SC
Goiatuba,GO
Araputanga,MT
Lorena,SP
Maringá,PR
Barão de Cocais,MG
São Bento do Sul,SC
Jaboatão dos Guararapes,PE
Patos de Minas,MG
Paulínia,SP
Carmópolis de Minas,MG
Parnaíba,PI
Ananindeua,PA
Guarabira,PB
Araguaína,TO
Horizonte,CE
São Lourenço,MG
Serra,ES
Cataguases,MG
Ouro Fino,MG
Uberaba,MG
Barbacena,MG
Cachoeira,BA
Botucatu,SP
Paranavaí,PR
Itamaraju,BA
Arapongas,PR
Vitória da Conquista,BA
Dracena,SP
Campo Formoso,BA
Aracati,CE
Iturama,MG
Taubaté,SP
Recife,PE
Serra,ES
Jaru,RO
Campinas,SP
Taubaté,SP
Jaraguá do Sul,SC
Sousa,PB
Pederneiras,SP
Umbaúba,SE
Chapadão do Sul,MS
Itapipoca,CE
Campo Grande,MS
Porteirinha,MG
Colatina,ES
Porto Velho,RO
Garibaldi,RS
Itumbiara,GO
Goianésia,GO
Feira de Santana,BA
Senhor do Bonfim,BA
Lençóis Paulista,SP
Campina Grande,PB
Guarapuava,PR
Passo Fundo,RS
Alagoinhas,BA
Recife,PE
Pirapora,MG
Timbaúba,PE
Matelândia,PR
Guaçuí,ES
Várzea Grande,MT
Luziânia,GO
Jaguariaíva,PR
Praia Grande,SP
Parnaíba,PI
Eusébio,CE
Vitória de Santo Antão,PE
Sorocaba,SP
Serrinha,BA
Recife,PE
Rio Branco,AC
Osasco,SP
Santo André,SP
Imperatriz,MA
Barbacena,MG
Porto Alegre,RS
Niquelândia,GO
Conselheiro Lafaiete,MG
Nova Andradina,MS
Passo Fundo,RS
Bom Despacho,MG
Cachoeira Paulista,SP
Iguape,SP
Londrina,PR
São Roque,SP
Recife,PE
Porto Alegre,RS
Arujá,SP
Itajubá,MG
Castro,PR
São Bento,PB
Juatuba,MG
Itu,SP
Abaetetuba,PA
Cassilândia,MS
Vila Velha,ES
Marabá,PA
Contagem,MG
Fernandópolis,SP
Lins,SP
Guaporé,RS
Morrinhos,GO
Coxim,MS
Londrina,PR
Blumenau,SC
Mossoró,RN
Nova Esperança,PR
Unaí,MG
Pão de Açúcar,AL
Itapema,SC
Belo Jardim,PE
Porto Velho,RO
Duque de Caxias,RJ
Votorantim,SP
Conchas,SP
Juazeiro do Norte,CE
Parauapebas,PA
Cacoal,RO
Quissamã,RJ
Cidade Ocidental,GO
Porto Alegre,RS
São Gotardo,MG
Canindé de São Francisco,SE
Arcoverde,PE
Ribeirão Preto,SP
Campinas,SP
Porto Velho,RO
São Joaquim da Barra,SP
Rio do Sul,SC
Caruaru,PE
Avaré,SP
Santos Dumont,MG
Campos dos Goytacazes,RJ
Ipojuca,PE
Jaraguá,GO
Pouso Alegre,MG
Indaial,SC
Crateús,CE
Iporá,GO
Caratinga,MG
Mogi das Cruzes,SP
São Paulo das Missões,RS
Sorocaba,SP
Iguatama,MG
Alagoinhas,BA
Patos,PB
Santo André,SP
Caldas Novas,GO
Ribeirão Preto,SP
Taboão da Serra,SP
Americana,SP
Niquelândia,GO
Votuporanga,SP
Ourinhos,SP
Gravataí,RS
Lavras,MG
Olinda,PE
Sinop,MT
Pinhais,PR
Nova Petrópolis,RS
Bonito,MS
Foz do Iguaçu,PR
Bragança Paulista,SP
Cajazeiras,PB
Barra Mansa,RJ
Costa Rica,MS
Casa Nova,BA
Campo Grande,MS
Feira de Santana,BA
Auriflama,SP
João Pessoa,PB
Itaúna,MG
Sumaré,SP
Moji Mirim,SP
Ariquemes,RO
Altamira,PA
Campo Novo do Parecis,MT
Campo Largo,PR
Elói Mendes,MG
São Caetano do Sul,SP
Cachoeirinha,RS
Pompéia,SP
Passos,MG
Euclides da Cunha,BA
Colombo,PR
Bacabal,MA
Suzano,SP
Nilópolis,RJ
Guaramirim,SC
Nova Iguaçu,RJ
Maracanaú,CE
Assis,SP
Unaí,MG
Caxias,MA
Benevides,PA
Iguatu,CE
Feira de Santana,BA
Criciúma,SC
Teresópolis,RJ
Castelo,ES
Cachoeirinha,RS
Pelotas,RS
Ouro Preto do Oeste,RO
Água Branca,PI
Recife,PE
São João da Boa Vista,SP
São Gonçalo,RJ
Campinas,SP
Santa Maria de Jetibá,ES
Santana,AP
Brusque,SC
Caruaru,PE
Além Paraíba,MG
Nova Iguaçu,RJ
Campo Grande,MS
Ituberá,BA
Olinda,PE
Anápolis,GO
Bertópolis,MG
Nova Lima,MG
Guarujá,SP
Londrina,PR
Olinda,PE
Porto Feliz,SP
Mogi das Cruzes,SP
Mauá,SP
Muzambinho,MG
Araxá,MG
Vitória da Conquista,BA
Nova Andradina,MS
Pato Branco,PR
Maceió,AL
Votorantim,SP
Araguaína,TO
Ponte Nova,MG
Recife,PE
Sorocaba,SP
Machado,MG
Paço do Lumiar,MA
Arapiraca,AL
Mogi Guaçu,SP
Santa Cruz do Capibaribe,PE
Caxias,MA
Rolim de Moura,RO
Ourinhos,SP
Ribeirão Preto,SP
Barracão,PR
Teixeira de Freitas,BA
Mogi Guaçu,SP
Três Corações,MG
Apucarana,PR
Ji-Paraná,RO
Garça,SP
Lauro de Freitas,BA
Três Lagoas,MS
Feira de Santana,BA
Santo André,SP
São Sebastião,SP
Várzea Paulista,SP
Piracicaba,SP
Sete Lagoas,MG
Contagem,MG
Londrina,PR
Anápolis,GO
Ilhéus,BA
Londrina,PR
Recife,PE
Jaboticabal,SP
Campo Grande,MS
Uberlândia,MG
Guaratuba,PR
Recife,PE
Itapuranga,GO
Serra,ES
Recife,PE
Patrocínio,MG
Mauá,SP
Palmitos,SC
Vila Velha,ES
Itajaí,SC
Araçatuba,SP
Governador Valadares,MG
Ouro Preto,MG
Jaboticabal,SP
Valença,BA
Guarulhos,SP
Sete Lagoas,MG
Itajaí,SC
Alta Floresta,MT
Osvaldo Cruz,SP
Novo Hamburgo,RS
Cruzeiro,SP
Tupaciguara,MG
João Pessoa,PB
Ponta Porã,MS
Piranga,MG
Nepomuceno,MG
Resende,RJ
Anápolis,GO
Bragança Paulista,SP
Porto Alegre,RS
Santa Bárbara d´Oeste,SP
Rio Branco,AC
Mauá,SP
Porto Alegre,RS
Queimadas,BA
Guarulhos,SP
Lajeado,RS
São Joaquim da Barra,SP
São Pedro da Aldeia,RJ
Novo Progresso,PA
Ubá,MG
Iguatu,CE
Pium,TO
Penápolis,SP
Itanhandu,MG
Lages,SC
Cotia,SP
Pedro Leopoldo,MG
Barra Bonita,SP
Porto Alegre,RS
Dores do Indaiá,MG
Recife,PE
Francisco Morato,SP
Campo Erê,SC
Santos,SP
Juína,MT
Ribeirão Preto,SP
Cachoeiro de Itapemirim,ES
Belford Roxo,RJ
Chapadinha,MA
Guarapuava,PR
Barra do Garças,MT
Cornélio Procópio,PR
Estrela,RS
São José do Rio Preto,SP
Jaboatão dos Guararapes,PE
Barueri,SP
Queimados,RJ
Ribeirão Preto,SP
Porto Alegre,RS
Três Pontas,MG
Recife,PE
Itajubá,MG
Recife,PE
Santa Maria,RS
Mangueirinha,PR
Paulista,PE
Marau,RS
Iporã,PR
Ariquemes,RO
Bebedouro,SP
Lavras,MG
Paraisópolis,MG
Dourados,MS
Rio Claro,SP
Santarém,PA
Recife,PE
Sorocaba,SP
Blumenau,SC
Vitória de Santo Antão,PE
Umuarama,PR
Porto Velho,RO
Barra de São Francisco,ES
Ipaussu,SP
Araçatuba,SP
Candeias,BA
Indaiatuba,SP
Parauapebas,PA
Vilhena,RO
Santa Rita do Passa Quatro,SP
Sobral,CE
Resende,RJ
Capelinha,MG
Itanhaém,SP
Itapetininga,SP
Paripiranga,BA
São Fidélis,RJ
Alagoinhas,BA
Pitanga,PR
Ilha Solteira,SP
Cotia,SP
Itumbiara,GO
Guarulhos,SP
Santo André,SP
Londrina,PR
Jaboatão dos Guararapes,PE
Itajaí,SC
Maringá,PR
Manhuaçu,MG
São Lourenço,MG
Belo Jardim,PE
João Pessoa,PB
Uberlândia,MG
Araçatuba,SP
Cornélio Procópio,PR
São Bento do Sul,SC
Ji-Paraná,RO
Guaratuba,PR
São Raimundo Nonato,PI
Amparo,SP
Tianguá,CE
Paranaguá,PR
Londrina,PR
Aquidauana,MS
Várzea da Palma,MG
Presidente Prudente,SP
Itaporanga,PB
Valinhos,SP
Altamira,PA
Imperatriz,MA
Itajaí,SC
Floresta,PE
Camaquã,RS
Divinópolis,MG
Luís Eduardo Magalhães,BA
Campo Grande,MS
Araripina,PE
Itapoá,SC
João Pessoa,PB
Barcarena,PA
Além Paraíba,MG
São Gonçalo,RJ
Caxias do Sul,RS
Moji Mirim,SP
Campos dos Goytacazes,RJ
Ivaiporã,PR
Uruana de Minas,MG
Guarulhos,SP
Arapiraca,AL
Teodoro Sampaio,SP
Jaraguá do Sul,SC
São José,SC
Altamira,PA
Jaú,SP
Valença,BA
Divinópolis,MG
Brumado,BA
Ipu,CE
Guarapari,ES
Aparecida de
Campo Grande,MS
Itajaí,SC
Lupércio,SP
Ribeirão das Neves,MG
Porto Alegre,RS
Aparecida de
Muriaé,MG
Tangará da Serra,MT
Januária,MG
Patos de Minas,MG
Limeira,SP
Ivoti,RS
Andradina,SP
Sabará,MG
Caraguatatuba,SP
Campo Grande,MS
Campos dos Goytacazes,RJ
Primavera do Leste,MT
Serra,ES
Valença,BA
Itumbiara,GO
Campinas,SP
Jataí,GO
Maringá,PR
Bagé,RS
Lavras,MG
Taquaritinga,SP
Eunápolis,BA
Divinópolis,MG
Valença,BA
Maracanaú,CE
Diamantino,MT
Guanhães,MG
Lins,SP
Capim Grosso,BA
Andradina,SP
João Pessoa,PB
Maricá,RJ
Presidente Venceslau,SP
Rio Verde,GO
Rio Verde,GO
Bacabal,MA
São Leopoldo,RS
Juazeiro,BA
Caxias do Sul,RS
Maceió,AL
Reduto,MG
Marília,SP
Porto Alegre,RS
Sobral,CE
Floriano,PI
Gurupi,TO
Contagem,MG
Maria da Fé,MG
Nova Iguaçu,RJ
São Carlos,SP
Barracão,PR
Tucano,BA
Osasco,SP
Floresta,PE
Maceió,AL
Campos dos Goytacazes,RJ
Nova Lima,MG
Itapetininga,SP
Ribeirão Preto,SP
Juína,MT
Porto Alegre,RS
Campina Grande,PB
Cachoeiro de Itapemirim,ES
Senador Canedo,GO
Santos,SP
Tapejara,RS
Leopoldina,MG
Anápolis,GO
Ibitinga,SP
São Lourenço da Mata,PE
Mirassol,SP
Recreio,MG
Osasco,SP
Balneário Camboriú,SC
Santo Antônio do Descoberto,GO
Capitão Leônidas Marques,PR
Indaiatuba,SP
Patos de Minas,MG
Recife,PE
Santos Dumont,MG
Três Rios,RJ
Paragominas,PA
Ilhéus,BA
Bento Gonçalves,RS
Balsas,MA
Porto Velho,RO
Vilhena,RO
Alfenas,MG
Penápolis,SP
Barbacena,MG
Maringá,PR
Piumhi,MG
João Pessoa,PB
Vilhena,RO
Igarassu,PE
Araruama,RJ
Cruzeiro do Sul,AC
Guarujá,SP
Mogi Guaçu,SP
Porto Alegre,RS
Muriaé,MG
Itabirito,MG
Ijuí,RS
Guarapuava,PR
Santa Rosa,RS
Sorocaba,SP
Caxias do Sul,RS
Bacabeira,MA
Bezerros,PE
Passo Fundo,RS
São Mateus,ES
Lagoa Santa,MG
Olinda,PE
Araçatuba,SP
Belford Roxo,RJ
Avaré,SP
Recife,PE
