Name,title,gender,IA
N. Williams,Automatic image alignment for 3D environment modeling,M,S
C. Hantak,Automatic image alignment for 3D environment modeling,M,S
A.A. Montenegro,Space carving with a hand-held camera,M,S
P.C.P. Carvalho,Space carving with a hand-held camera,M,S
V.F. De Melo,An approximation for normal vectors of deformable models,M,S
M.M. Oliveira,A hole-filling strategy for reconstruction of smooth surfaces in range images,M,S
B. Mederos,Moving least squares multiresolution surface approximation,F,S
L.H. De Figueiredo,Moving least squares multiresolution surface approximation,M,S
H. Lopes,Fast stellar mesh simplification,M,S
G. Tavares,Fast stellar mesh simplification,M,S
T. Lewiner,Fast stellar mesh simplification,M,S
J.F. Sanjuan-Estrada,Reliable algorithms for ray intersection in computer graphics based on interval arithmetic,M,S
I. Garcia,Reliable algorithms for ray intersection in computer graphics based on interval arithmetic,M,S
H. Lopes,A topological framework for advancing front triangulation,M,S
M.B. Vieira,Reconstruction using surface dedicated tensorial field,M,S
P.P. Martins,Reconstruction using surface dedicated tensorial field,M,S
A.A. Araujo,Reconstruction using surface dedicated tensorial field,M,S
S.-T. Wu,A non-self-intersection Douglas-Peucker algorithm,M,S
M.R.G. Marquez,A non-self-intersection Douglas-Peucker algorithm,M,S
F.M.Q. Pereira,The language LinF for fractal specification,M,S
L.T. Rolla,The language LinF for fractal specification,M,S
H. Thole,Creating and editing curves on subdivision surfaces,M,S
F.R. Miranda,Graphic simulation for virtual prototyping with Java3D,M,S
C.S.D. Santos,Graphic simulation for virtual prototyping with Java3D,F,S
J.E. Kogler,Graphic simulation for virtual prototyping with Java3D,M,S
M.B. Villamil,A rules-based model used to describe group dynamics for games,F,S
R. Farias,RZSweep: a new hardware-assisted volume-rendering technique for regular datasets,M,S
R. Farias,Work distribution for parallel ZSweep algorithm,M,S
C. Bentes,Work distribution for parallel ZSweep algorithm,M,S
J.F. Rodrigues,Frequency plot and relevance plot to enhance visual data exploration,M,S
A.J.M. Traina,Frequency plot and relevance plot to enhance visual data exploration,F,S
C. Traina,Frequency plot and relevance plot to enhance visual data exploration,M,S
M.M. Oliveira,A sketch-based collaborative design system,M,S
V.C.L. Salvador,An interaction model for scientific visualization using sound,F,S
R. Minghim,An interaction model for scientific visualization using sound,F,S
S.-T. Wu,Picking and snapping for 3D input devices,M,S
L.F.M. Vieira,Automatically choosing source color images for coloring grayscale images,M,S
E.R.D. Nascimento,Automatically choosing source color images for coloring grayscale images,M,S
F.A. Fernandes,Automatically choosing source color images for coloring grayscale images,M,S
A.A. Araujo,Automatically choosing source color images for coloring grayscale images,M,S
E.M. Picado,Effective image retrieval by shape saliences,M,S
L.F. Costa,Effective image retrieval by shape saliences,M,S
J.F. Rodrigues,Using efficient visual exploration techniques to evaluate features for content-based image retrieval,M,S
C. Traina,Using efficient visual exploration techniques to evaluate features for content-based image retrieval,M,S
A.J.M. Traina,Using efficient visual exploration techniques to evaluate features for content-based image retrieval,F,S
C.N.J. Marinho,An image retrieval method based on factor analysis,M,S
H.Y. Kim,Secure authentication watermarking for binary images,M,S
L.N. Faria,Image morphing applied to 3D reconstruction of coronal loops,F,S
N.D.A. Mascarenhas,Image morphing applied to 3D reconstruction of coronal loops,M,S
C.E. Moron,Image morphing applied to 3D reconstruction of coronal loops,M,S
R.R. Rosa,Image morphing applied to 3D reconstruction of coronal loops,M,S
R.A. Silva,Informed embedding for multibit watermarking,M,S
R. Hirata,Design of order statistic filters from examples,M,S
J.D.S. da Silva,Corresponding geometric distorted images using an uncertainty inference method,M,S
P.O. Simoni,Corresponding geometric distorted images using an uncertainty inference method,M,S
J.A.T.B. da Costa,Area fractions by linear analysis of intensity level histograms,M,S
E.A. Yonekura,2-D histogram-based segmentation of postal envelopes,M,S
J.J.G. Leandro,Blood vessels segmentation in nonmydriatic images using wavelets and statistical classifiers,M,S
J.V.B. Soares,Blood vessels segmentation in nonmydriatic images using wavelets and statistical classifiers,M,S
R.M. Cesar,Blood vessels segmentation in nonmydriatic images using wavelets and statistical classifiers,M,S
A.M. Polidorio,Automatic shadow segmentation in aerial color images,M,S
F.C. Flores,Automatic shadow segmentation in aerial color images,M,S
N.N. Imai,Automatic shadow segmentation in aerial color images,M,S
C. Franco,Automatic shadow segmentation in aerial color images,M,S
C.R. Jung,Multiscale image segmentation using wavelets and watersheds,M,S
C.A.Z. Barcelos,Image inpainting and denoising by nonlinear partial differential equations,F,S
M.A. Batista,Image inpainting and denoising by nonlinear partial differential equations,M,S
J.L. Fernandes,A novel photometric motion approach,M,S
H.C.G. Leitao,A novel photometric motion approach,M,S
H.M. Gomes,Learning-based versus model-based log-polar feature extraction operators: a comparative study,M,S
C.O.D.A. Freitas,Evaluating the conventional and class-modular architectures feedforward neural network for handwritten word recognition,M,S
R. Sabourin,Evaluating the conventional and class-modular architectures feedforward neural network for handwritten word recognition,M,S
J.S.C. Filho,Semiautomatic hysteroscopic video summarization,M,S
V. Estrela,Regularized pel-recursive motion estimation using generalized cross-validation and spatial adaptation,M,S
R.T. Lopes,Regularized pel-recursive motion estimation using generalized cross-validation and spatial adaptation,M,S
N.J. Leite,Video transition detection using string matching: preliminary results,M,S
F.C. Flores,Object segmentation in image sequences by watershed from markers: a generic approach,M,S
R. de Alencar Lotufo,Object segmentation in image sequences by watershed from markers: a generic approach,M,S
G. Castellano,Sulcal lines extraction for cortex characterization in cerebral MR images using the image foresting transform,M,S
F. Cendes,Sulcal lines extraction for cortex characterization in cerebral MR images using the image foresting transform,M,S
B.M. Carvalho,Helical CT reconstruction from wide cone-beam angle data using ART,M,S
G.T. Herman,Helical CT reconstruction from wide cone-beam angle data using ART,M,S
F.N.S. De Medeiros,Multiscale detection of linear features in speckled imagery,M,S
R.C.S. Costa,Multiscale detection of linear features in speckled imagery,NULL,S
R.C.P. Marques,Multiscale detection of linear features in speckled imagery,NULL,S
M.A.G. Carvalho,Segmentation of images of yeast cells by scale-space analysis,F,S
L.G. Da Silveira,Visual speech recognition: a solution from feature extraction to words classification,M,S
D.L. Borges,Visual speech recognition: a solution from feature extraction to words classification,M,S
C.H. Morimoto,A computer vision framework for eye gaze tracking,M,S
J.C. Gee,Substructural segmentation based on regional shape differences,M,S 
M.F.M. Campos,Substructural segmentation based on regional shape differences,M,S
W.F. Rigo,Semi-automatic identification of optic disk by image processing for quantitative funduscopy,M,S
A.P.B. Da Silva,Semi-automatic identification of optic disk by image processing for quantitative funduscopy,M,S
T.W. Rauber,Semi-automatic identification of optic disk by image processing for quantitative funduscopy,M,S
G. Giraldi,A semi-automatic surface reconstruction framework based on T-Surfaces and isosurface extraction methods,M,S
R. Silva,A semi-automatic surface reconstruction framework based on T-Surfaces and isosurface extraction methods,NULL,S
A.A.F. Oliveira,A semi-automatic surface reconstruction framework based on T-Surfaces and isosurface extraction methods,M,S
V.C.L. Salvador,DSVOL II - a distributed visualization and sonification application communicating via an XML-based protocol,F,S
R. Minghim,DSVOL II - a distributed visualization and sonification application communicating via an XML-based protocol,F,S
H. Levkowitz,DSVOL II - a distributed visualization and sonification application communicating via an XML-based protocol,M,S
I.H. Manssour,Visualizing inner structures in multimodal volume data,M,S
C.M.D.S. Freitas,Visualizing inner structures in multimodal volume data,F,S
C.T. Silva,Towards point-based acquisition and rendering of large real-world environments,M,S
F.N.S. Medeiros,Evaluating an adaptive windowing scheme in speckle noise MAP filtering,M,S
N.D.A. Mascarenhas,Evaluating an adaptive windowing scheme in speckle noise MAP filtering,M,S
R.C.P. Marques,Evaluating an adaptive windowing scheme in speckle noise MAP filtering,NULL,S
M.L.S. Aguena,Multispectral image data fusion using projections onto convex sets techniques,F,S
N.D.A. Mascarenhas,Multispectral image data fusion using projections onto convex sets techniques,M,S
F.J. De Souza,Non-parametric smoothing for relative radiometric correction on remotely sensed data,M,S
M.P. Martins,Texture feature neural classifier for remote sensing image retrieval systems,M,S
L.N. Frutuoso Guimaraes,Texture feature neural classifier for remote sensing image retrieval systems,F,S
P.C.P. Carvalho,Image moments-based structuring and tracking of objects,M,S
M.B. Vieira,Filtering sparse data with 3D tensorial structuring elements,M,S
P.P. Martins,Filtering sparse data with 3D tensorial structuring elements,M,S
A.D.A. Araujo,Filtering sparse data with 3D tensorial structuring elements,M,S
R. Yang,Combining approximate geometry with view-dependent texture mapping - a hybrid approach to 3D video teleconferencing,M,S
C.R. Jung,Robust watershed segmentation using the wavelet transform,M,S
A.G. Silva,Classification of microstructures by morphological analysis and estimation of the hydration degree of cement paste in concrete,NULL,S
R. de Alencar Lotufo,Classification of microstructures by morphological analysis and estimation of the hydration degree of cement paste in concrete,M,S
F.C. Flores,Classification of microstructures by morphological analysis and estimation of the hydration degree of cement paste in concrete,M,S
F.A. Zampirolli,IFT-Watershed from gray-scale marker,M,S
F.C. Flores,Automatic method for assessment of telangiectasia degreeing by mathematical morphology,M,S
R. De Alencar Lotufo,Automatic method for assessment of telangiectasia degreeing by mathematical morphology,M,S
L.M. Rocha,Automatic method for assessment of telangiectasia degreeing by mathematical morphology,F,S
A.G. Silva,Automatic method for assessment of telangiectasia degreeing by mathematical morphology,NULL,S
E.F. Rocha,Automatic method for assessment of telangiectasia degreeing by mathematical morphology,M,S
L.H. De Figueiredo,Approximating parametric curves with strip trees using affine arithmetic,M,S
L.G. Da Silveira,Workspace awareness in relaxed WYSIWIS systems,M,S
A.J.Q. Vargas,Beta-connection: an approach to generate families of models from planar sections,M,S
L.G. Nonato,Beta-connection: an approach to generate families of models from planar sections,M,S
R. Minghim,Beta-connection: an approach to generate families of models from planar sections,F,S
M.C.F. De Oliveira,Beta-connection: an approach to generate families of models from planar sections,F,S
E.J.R. Justino,The interpersonal and intrapersonal variability influences on off-line signature verification using HMM,M,S
F. Bortolozzi,The interpersonal and intrapersonal variability influences on off-line signature verification using HMM,M,S
R. Sabourin,The interpersonal and intrapersonal variability influences on off-line signature verification using HMM,M,S
B. Dubuisson,Characterizing and distinguishing text in bank cheque images,F,S
F. Bortolozzi,Characterizing and distinguishing text in bank cheque images,M,S
J.J. De Oliveira Junior,Evaluating NN and HMM classifiers for handwritten word recognition,M,S
J.M. De Carvalho,Evaluating NN and HMM classifiers for handwritten word recognition,M,S
C.O.D.A. Freitas,Evaluating NN and HMM classifiers for handwritten word recognition,M,S
R. Sabourin,Evaluating NN and HMM classifiers for handwritten word recognition,M,S
L.M. Rocha,E-Shell Rendering,M,S
A.X. Falco,E-Shell Rendering,M,S
C. Augusto de Carvalho Vannini,Re-slicing tomographic volumes with Shell Rendering,M,S
N. Jeronimo Leite,A directional and parametrized transition detection algorithm based on morphological residues,M,S
E.T.M. Manoel,Multiscale fractal characterization of three-dimensional gene expression data,M,S
L.D.F. Costa,Multiscale fractal characterization of three-dimensional gene expression data,M,S
G.B. Muller,Multiscale fractal characterization of three-dimensional gene expression data,M,S
T.S. Caetano,Performance evaluation of single and multiple-Gaussian models for skin color modeling,M,S
D.A.C. Barone,Performance evaluation of single and multiple-Gaussian models for skin color modeling,M,S
P. Sergio Rodrigues,A region-based object recognition algorithm,M,S
C.G. Franco,Modeling and rendering of individual feathers,M,S
H.M.F. Madeira,Boolean decomposition of binary image operators,M,S
H. Pedrini,Boolean decomposition of binary image operators,M,S
D.C. Danna,Temporal segmentation of video sequences for content-based coding,M,S
C.J.S. Oliveira,Classifying images collected on the World Wide Web,M,S
C.A. Severiano,Classifying images collected on the World Wide Web,M,S
J.A. Nalon,Compression of quincunx subbands,M,S
F.V. Salina,A comparison of POCS algorithms for tomographic reconstruction under noise and limited view,M,S
N.D.A. Mascarenhas,A comparison of POCS algorithms for tomographic reconstruction under noise and limited view,M,S
A.C. Frery,Minute feature analysis in speckled imagery,M,S
F. Cribari-Neto,Minute feature analysis in speckled imagery,M,S
E.C. Prakash,Hierarchical face modeling and fast 3D facial expression synthesis,M,S
F. Pereira Ferreira,Intelligent Virtual Environment and Camera Control in behavioural simulation,M,S
G. Gelatti,Intelligent Virtual Environment and Camera Control in behavioural simulation,M,S
F.O. Moreira,Smart visible sets for networked virtual environments,M,S
C.M.D.S. Freitas,Smart visible sets for networked virtual environments,F,S
C.C. Aranha,Cambio: realistic three dimensional simulation of humanoids based on computer vision and robotics,M,S
S.R. Carvalho,Cambio: realistic three dimensional simulation of humanoids based on computer vision and robotics,M,S
L.M.G. Goncalvez,Cambio: realistic three dimensional simulation of humanoids based on computer vision and robotics,M,S
M.C.F. De Oliveira,Image processing and analysis to diagnose ocular refraction errors,F,S
R.C.P. Marques,Multiscale denoising algorithm based on the a trous algorithm,M,S
F.N.S. Medeiros,Multiscale denoising algorithm based on the a trous algorithm,M,S
R.C.S. Costa,Linear features detection in SAR images for urban analysis,M,S
F.N.S. Medeiros,Linear features detection in SAR images for urban analysis,M,S
I. Esquef,Nonextensive entropic image thresholding,M,S
M.A.G. De Carvalho,Image segmentation by analysis of scale-space,F,S
R. De Alencar Lotufo,Image segmentation by analysis of scale-space,M,S
S.E.N. Correia,Human-perception handwritten character recognition using wavelets,F,S
J.M. De Carvalho,Human-perception handwritten character recognition using wavelets,M,S
R. Sabourin,Human-perception handwritten character recognition using wavelets,M,S
S.M. Farani Costa,A new paradigm on fingerprint classification using directional image,F,S
J.M.V. De Oliveira,A new paradigm on fingerprint classification using directional image,M,S
F.J.R. Fernandez,A new paradigm on fingerprint classification using directional image,M,S
A.M. Brito Junior,A simple sketch for 3D scanning based on a rotating platform and a Web camera,M,S
L.M. Goncalves,A simple sketch for 3D scanning based on a rotating platform and a Web camera,M,S
G. Tho,A simple sketch for 3D scanning based on a rotating platform and a Web camera,M,S
A.L. De O Cavalcanti,A simple sketch for 3D scanning based on a rotating platform and a Web camera,M,S
T.E. De Campos,Person recognition through eigeneye selection based on fuzzy distance to multiple class prototypes,M,S
R.M. Cesar,Person recognition through eigeneye selection based on fuzzy distance to multiple class prototypes,M,S
I. Bloch,Person recognition through eigeneye selection based on fuzzy distance to multiple class prototypes,F,S
B. Borba,Localization of Brazilian vehicles plates using frequency analysis,M,S
C. Vasconcelos,Localization of Brazilian vehicles plates using frequency analysis,M,S
I.A. Esquef,Localization of Brazilian vehicles plates using frequency analysis,M,S
C.J.S. Oliveira,A color-based retrieval system for images collected on the World Wide Web,M,S
D.R. Gomes,A color-based retrieval system for images collected on the World Wide Web,M,S
C.A. Severiano,A color-based retrieval system for images collected on the World Wide Web,M,S
M.A.G. De Carvalho,Region tracking in ventricle MR sequence based on hierarchical analysis,F,S
R. De Alencar Lotufo,Region tracking in ventricle MR sequence based on hierarchical analysis,M,S
F.M. Lopes,Automatic gray level thresholding based on relevant features for subjective decisions,M,S
L.A. Consular,Automatic gray level thresholding based on relevant features for subjective decisions,M,S
A.C. Frery,An improved architecture for Java domain transformation applications,M,S
V.T. Diverio,A neural approach to classification of satellite images,M,S
A.T. Gomez,A neural approach to classification of satellite images,M,S
F.S. Osorio,A neural approach to classification of satellite images,M,S
L.T. Hoffmann,A neural approach to classification of satellite images,M,S
A.G. Rodrigues,A neural approach to classification of satellite images,M,S
F.H.C. Nunes,"A multimedia information system for administrative, scientific and intervention data in conservation-restoration of cultural movable properties",M,S
L.A.C. Souza,"A multimedia information system for administrative, scientific and intervention data in conservation-restoration of cultural movable properties",M,S
A.A. Araujo,"A multimedia information system for administrative, scientific and intervention data in conservation-restoration of cultural movable properties",M,S
M.A. Correa,"A multimedia information system for administrative, scientific and intervention data in conservation-restoration of cultural movable properties",F,S
F.A. Rodrigues,Applying a visual attention mechanism to the problem of traffic sign recognition,M,S
H.M. Gomes,Applying a visual attention mechanism to the problem of traffic sign recognition,M,S
M.V.A. Andrade,Spherical maps visualization,F,S
F. Franco,The color-code technique for 3D scanning,M,S
