Name,gender,IA
C.G. Rezende,M,S
J.E. Kogler,NULL,S
M.B. Villamil,NULL,S
S.R. Musse,F,S
H.C. Batagelo,M,S
L.F.M. Vieira,NULL,S
R.D. Vilela,M,S
R.S. Torres,M,S
C.A.B. Castanon,M,S
N.D.A. Mascarenhas,NULL,S
H.S. Sawant,M,S
E.A. Yonekura,NULL,S
H.F. Jelinek,M,S
A.M. Polidorio,NULL,S
F.C. Flores,NULL,S
A.M.G. Tommaselli,F,S
H.C.G. Leitao,NULL,S
R.B. Fisher,M,S
O.R.P. Bellon,M,S
K.L. Boyer,M,S
J.C. Nievola,M,S
L.A. Rivera,M,S
P.C. Beggio,M,S
F.C. Flores,NULL,S
C.M. Laprano,M,S
M.R.M. Mimica,M,S
C.H. Morimoto,NULL,S
I.H. Manssour,NULL,S
S.S. Furuie,F,S
S.D. Olabarriaga,F,S
W.T. Correa,M,S
F.N.S. Medeiros,NULL,S
N.D.A. Mascarenhas,NULL,S
M.L.F. Velloso,F,S
M.B. Vieira,NULL,S
C.S. Kurashima,F,S
F.C. Flores,NULL,S
F.A. Zampirolli,NULL,S
F.C. Flores,NULL,S
A.J.Q. Vargas,NULL,S
A.X. Falco,NULL,S
H.M.F. Madeira,NULL,S
J.F. Camapum Wanderley,M,S
J.B.T. Yabu-Uti,M,S
N.D.A. Mascarenhas,NULL,S
P.E. Cruvinel,M,S
E.C. Prakash,NULL,S
C.C. Aranha,NULL,S
F.N.S. Medeiros,NULL,S
F.N.S. Medeiros,NULL,S
S.E.N. Correia,NULL,S
I.A. Esquef,NULL,S
L.A. Consular,NULL,S
V.T. Diverio,NULL,S
L.T. Hoffmann,NULL,S
M.A. Correa,NULL,S
F.M.A. Fonseca,M,S
A.G.C. Bianchi,F,S
H.G.E. Hentschel,M,S
T.P. Lied,NULL,S
M.B. Vieira,NULL,S
H.M.De.A. Bezerra,NULL,S
B.F.F. Karlsson,NULL,S
J.S. Sanchez,NULL,S
N.W. Trepode,NULL,S
H.F. Jelinek,NULL,S
F.A. Zampirolli,NULL,S
R.F. Hashimoto,M,S
F.C. Flores,NULL,S
R.D.A. Lotufo,NULL,S
C.T. Pozzer,NULL,S
S.R.M. Pellegrino,NULL,S
A.B. Raposo,NULL,S
L.P. Magalhaes,NULL,S
J.E. Kogler,NULL,S
M.K. Madrid,NULL,S
C.H. Morimoto,NULL,S
P.H. Caramori,NULL,S
C.A. Dietrich,NULL,S
C.A.A. Schmitz,NULL,S
W.I. Meyering,NULL,S
N.D.A. Mascarenhas,NULL,S
B.C. Vemuri,NULL,S
M.B. Vieira,NULL,S
P.O.A. Navaux,NULL,S
P.F.P. Fichtner,NULL,S
J.P. Pereria,NULL,S
M.J. Fonseca,NULL,S
C.H.Q. Forster,NULL,S
C.L. Tozzi,NULL,S
R.B. Fisher,NULL,S
A.G. Campos Bianchi,NULL,S
M.G.D.C. Cerqueira,F,S
S.M.D.B. Maranhao,F,S
P.A. Bressan,NULL,S
G.N.C. Fantini,F,S
F.J. Heinen,NULL,S
S.M. Malfatti,NULL,S
L.V. Koenigkan,NULL,S
I.J. Sanches,NULL,S
C.A.A. Schmitz,NULL,S
P.R. Arantes,NULL,S
L.M. Arantes,F,S
S.C.D. Pitto,NULL,S
I.H. Bechtold,NULL,S
J.J. Bonvent,NULL,S
M.T. Akyama,NULL,S
F.C. Flores,NULL,S
R.M. Hadad,NULL,S
B.S. Soares-Filho,NULL,S
G.C. Cerqueira,NULL,S
P.C. Grazziotin,NULL,S
K.K. Bharadwaj,NULL,S
J.E. Borelli,NULL,S
A.M. Correa Machado,NULL,S
M.F. Montenegro CAmpos,NULL,S
C.H. Quartucci Forster,NULL,S
C.L. Tozzi,NULL,S
N.D.A. Mascarenhas,NULL,S
C.I. Biscegli,NULL,S
J.E.L. Desautels,NULL,S
F.A. Balogun,NULL,S
A.E. Fabris,NULL,S
A.R. Forrest,NULL,S
L.A.P. Lozada,NULL,S
A.A. Falcao,NULL,S
F.A. Zampirolli,NULL,S
F.C. Flores,NULL,S
H.M.F. Madeira,NULL,S
F.C. Flores,NULL,S
J.M. Seixas,M,S
L.P. Caloba,NULL,S
A.D. Sappa,NULL,S
J.R. Bittencourt,NULL,S
L.R. Veloso,NULL,S
S.E.N. Correia,NULL,S
J.G.F. Mexas,NULL,S
A.M.V. Monteiro,NULL,S
R.D.A. Lotufo,NULL,S
T.K. Mitre,NULL,S
A.B. Huguet,NULL,S
A.L. Battaiola,NULL,S
M.O.P. Lisboa,NULL,S
A.K. Kojima,NULL,S
I.H. Manssour,NULL,S
A.J.A.D. Cruz,NULL,S
A.B. Raposo,NULL,S
L.P. Magalhaes,NULL,S
R.B. Westrupp,M,S
J.B. Cavalcante Neto,M,S
R.F.G. Cerqueira,M,S
G.P. Carnielli,NULL,S
L.M.G. Fonseca,NULL,S
R.A. Grupen,NULL,S
M.F.M. Campos,NULL,S
C.H. Morimoto,NULL,S
E.R. Hancock,NULL,S
J.P. Kitajima,NULL,S
P.S.L.M. Barreto,M,S
E.R. Dougherty,M,S
F.C. Flores,NULL,S
H.M.F. Madeira,NULL,S
M.C. D'Ornellas,M,S
J.-P. Cocquerez,M,S
O.H. Bustos,M,S
F.N.S. Medeiros,NULL,S
N.D.A. Mascarenhas,NULL,S
G.T. Zaniboni,NULL,S
N.D.A. Mascarenhas,NULL,S
L.F.C. Pessoa,NULL,S
E.R. Minatel,M,S
A.E. Fabris,NULL,S
A.R. Forrest,NULL,S
S.M. Tutida,NULL,S
J.J. Lunazzi,M,S
M.L. Pacheco,NULL,S
J.N. Cotrim Arabe,NULL,S
N.V. Boulgouris,NULL,S
M.G. Strintzis,M,S
J.A. Zuffo,M,S
M.W. Kurzynski,NULL,S
A.P.D. Poz,NULL,S
F.N.S. Medeiros,NULL,S
N.D.A. Mascarenhas,NULL,S
S.L. Gonzalez Andino,NULL,S
E.A. Vazquez,NULL,S
E.R. Hancock,NULL,S
S.A. Velastin,M,S
L.A. Consularo,NULL,S
D.P. Huijsmans,NULL,S
Chiou-Shann Fuh,NULL,S
R.M.L.O. Mendonca,M,S
R.A. Grupen,NULL,S
J.-M. Geusebroek,NULL,S
A.C.F. Pessoa,NULL,S
A.E. Fabris,NULL,S
A.R. Forrest,NULL,S
A.E. Fabris,NULL,S
A.R. Forrest,NULL,S
A.B. Raposo,NULL,S
L.P. Magalhaes,NULL,S
F.S. Tamiosso,NULL,S
A.B. Raposo,NULL,S
L.P. Magalhaes,NULL,S
G.A. Pinto,NULL,S
R.M. Persiano,NULL,S
R.C.H. Chiou,NULL,S
A.E. Kaufman,NULL,S
M.M. Anguh,NULL,S
A.M. Siqueira,NULL,S
L.F. Chaparro,NULL,S
M.V.R. Sobreiro,NULL,S
C.daC.F. Yanasse,NULL,S
P.R. Vieira,NULL,S
L.M.G. Fonseca,NULL,S
Mendonça C. F. X. de N.,NULL,S
JohanHagman,M,S
MarceloBarros,M,S
Jean-François Naviner,M,S
Dinamérico Schwingel,M,S
Nandamudi Lankalapalli Vijaykumar,M,S
